date,holiday,holiday_type
01/01/2015,New Year's Day (R),Restricted
14/01/2015,Makar Sankranti (R),Restricted
22/01/2015,Basant Panchami / Sri Panchami (R),Restricted
26/01/2015,Republic Day (G),Gazetted
31/01/2015,Guru Ravidas's Birthday (R),Restricted
10/02/2015,Swami Dayananda Saraswati Jayanti (R),Restricted
14/02/2015,Maha Shivaratri (G),Gazetted
19/02/2015,Shivaji Jayanti (R),Restricted
01/03/2015,Holika Dahan/Dolyatra (R),Restricted
02/03/2015,Holi (G),Gazetted
18/03/2015,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
25/03/2015,Ram Navami (R),Restricted
29/03/2015,Mahavir Jayanti (G),Gazetted
30/03/2015,Good Friday (G),Gazetted
01/04/2015,Easter Sunday (R),Restricted
14/04/2015,Vaisakhi/Vishu/Mesadi (R),Restricted
15/04/2015,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
30/04/2015,Buddha Purnima (G),Gazetted
09/05/2015,Guru Rabindranath's Birthday (R),Restricted
15/06/2015,Jamat-Ul-Vida (R),Restricted
16/06/2015,Idu'l Fitr (G),Gazetted
14/07/2015,Rath Yatra (R),Restricted
15/08/2015,Independence day (G),Gazetted
17/08/2015,Parsi New Year's day/Nauraj (R),Restricted
22/08/2015,Id-ul-Zuha (Bakrid) (G),Gazetted
25/08/2015,Onam or Thiru Onam Day (R),Restricted
26/08/2015,Raksha Bandhan (R),Restricted
03/09/2015,Janmashtami (G),Gazetted
13/09/2015,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
21/09/2015,Muharram (G),Gazetted
02/10/2015,Mahatma Gandhi's Birthday (G),Gazetted
16/10/2015,Dussehra (Maha Saptami) (Additional) (R),Restricted
17/10/2015,Dussehra (Maha Ashtami) (Additional) (R),Restricted
18/10/2015,Dussehra (Maha Navmi) (R),Restricted
19/10/2015,Dussehra (G),Gazetted
24/10/2015,Maharishi Valmiki's Birthday (R),Restricted
27/10/2015,Karaka Chaturthi (Karva Chouth) (R),Restricted
06/11/2015,Deepavali (South India) (R),Restricted
07/11/2015,Diwali (Deepavali) (G),Gazetted
08/11/2015,Govardhan Puja (R),Restricted
09/11/2015,Bhai Duj (R),Restricted
13/11/2015,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
21/11/2015,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
23/11/2015,Gur'u Nanak's Birthday (G),Gazetted
24/11/2015,Guru Teg Bahadur's Martyrdom Day (R),Restricted
24/12/2015,Christmas Eve (R),Restricted
25/12/2015,Christmas Day (G),Gazetted
01/01/2016,New Year's Day (R),Restricted
14/01/2016,Makar Sankranti (R),Restricted
22/01/2016,Basant Panchami / Sri Panchami (R),Restricted
26/01/2016,Republic Day (G),Gazetted
31/01/2016,Guru Ravidas's Birthday (R),Restricted
10/02/2016,Swami Dayananda Saraswati Jayanti (R),Restricted
14/02/2016,Maha Shivaratri (G),Gazetted
19/02/2016,Shivaji Jayanti (R),Restricted
01/03/2016,Holika Dahan/Dolyatra (R),Restricted
02/03/2016,Holi (G),Gazetted
18/03/2016,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
25/03/2016,Ram Navami (R),Restricted
29/03/2016,Mahavir Jayanti (G),Gazetted
30/03/2016,Good Friday (G),Gazetted
01/04/2016,Easter Sunday (R),Restricted
14/04/2016,Vaisakhi/Vishu/Mesadi (R),Restricted
15/04/2016,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
30/04/2016,Buddha Purnima (G),Gazetted
09/05/2016,Guru Rabindranath's Birthday (R),Restricted
15/06/2016,Jamat-Ul-Vida (R),Restricted
16/06/2016,Idu'l Fitr (G),Gazetted
14/07/2016,Rath Yatra (R),Restricted
15/08/2016,Independence day (G),Gazetted
17/08/2016,Parsi New Year's day/Nauraj (R),Restricted
22/08/2016,Id-ul-Zuha (Bakrid) (G),Gazetted
25/08/2016,Onam or Thiru Onam Day (R),Restricted
26/08/2016,Raksha Bandhan (R),Restricted
03/09/2016,Janmashtami (G),Gazetted
13/09/2016,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
21/09/2016,Muharram (G),Gazetted
02/10/2016,Mahatma Gandhi's Birthday (G),Gazetted
16/10/2016,Dussehra (Maha Saptami) (Additional) (R),Restricted
17/10/2016,Dussehra (Maha Ashtami) (Additional) (R),Restricted
18/10/2016,Dussehra (Maha Navmi) (R),Restricted
19/10/2016,Dussehra (G),Gazetted
24/10/2016,Maharishi Valmiki's Birthday (R),Restricted
27/10/2016,Karaka Chaturthi (Karva Chouth) (R),Restricted
06/11/2016,Deepavali (South India) (R),Restricted
07/11/2016,Diwali (Deepavali) (G),Gazetted
08/11/2016,Govardhan Puja (R),Restricted
09/11/2016,Bhai Duj (R),Restricted
13/11/2016,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
21/11/2016,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
23/11/2016,Gur'u Nanak's Birthday (G),Gazetted
24/11/2016,Guru Teg Bahadur's Martyrdom Day (R),Restricted
24/12/2016,Christmas Eve (R),Restricted
25/12/2016,Christmas Day (G),Gazetted
01/01/2017,New Year's Day (R),Restricted
14/01/2017,Makar Sankranti (R),Restricted
22/01/2017,Basant Panchami / Sri Panchami (R),Restricted
26/01/2017,Republic Day (G),Gazetted
31/01/2017,Guru Ravidas's Birthday (R),Restricted
10/02/2017,Swami Dayananda Saraswati Jayanti (R),Restricted
14/02/2017,Maha Shivaratri (G),Gazetted
19/02/2017,Shivaji Jayanti (R),Restricted
01/03/2017,Holika Dahan/Dolyatra (R),Restricted
02/03/2017,Holi (G),Gazetted
18/03/2017,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
25/03/2017,Ram Navami (R),Restricted
29/03/2017,Mahavir Jayanti (G),Gazetted
30/03/2017,Good Friday (G),Gazetted
01/04/2017,Easter Sunday (R),Restricted
14/04/2017,Vaisakhi/Vishu/Mesadi (R),Restricted
15/04/2017,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
30/04/2017,Buddha Purnima (G),Gazetted
09/05/2017,Guru Rabindranath's Birthday (R),Restricted
15/06/2017,Jamat-Ul-Vida (R),Restricted
16/06/2017,Idu'l Fitr (G),Gazetted
14/07/2017,Rath Yatra (R),Restricted
15/08/2017,Independence day (G),Gazetted
17/08/2017,Parsi New Year's day/Nauraj (R),Restricted
22/08/2017,Id-ul-Zuha (Bakrid) (G),Gazetted
25/08/2017,Onam or Thiru Onam Day (R),Restricted
26/08/2017,Raksha Bandhan (R),Restricted
03/09/2017,Janmashtami (G),Gazetted
13/09/2017,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
21/09/2017,Muharram (G),Gazetted
02/10/2017,Mahatma Gandhi's Birthday (G),Gazetted
16/10/2017,Dussehra (Maha Saptami) (Additional) (R),Restricted
17/10/2017,Dussehra (Maha Ashtami) (Additional) (R),Restricted
18/10/2017,Dussehra (Maha Navmi) (R),Restricted
19/10/2017,Dussehra (G),Gazetted
24/10/2017,Maharishi Valmiki's Birthday (R),Restricted
27/10/2017,Karaka Chaturthi (Karva Chouth) (R),Restricted
06/11/2017,Deepavali (South India) (R),Restricted
07/11/2017,Diwali (Deepavali) (G),Gazetted
08/11/2017,Govardhan Puja (R),Restricted
09/11/2017,Bhai Duj (R),Restricted
13/11/2017,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
21/11/2017,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
23/11/2017,Gur'u Nanak's Birthday (G),Gazetted
24/11/2017,Guru Teg Bahadur's Martyrdom Day (R),Restricted
24/12/2017,Christmas Eve (R),Restricted
25/12/2017,Christmas Day (G),Gazetted
